Wavelength,uJ/count
338.5374925,7.080123793575802e-09
338.9177132,7.212044121725351e-09
339.297902,7.3436341649282115e-09
339.6780589,1.7966693876845707e-08
340.0581838,6.2714109494956596e-09
340.4382767,1.4765241889963e-08
340.8183376,1.6515262891018538e-08
341.1983666,6.247340178365252e-08
341.5783635,1.7853911413097012e-08
341.9583283,-2.6367442401038753e-08
342.3382611,-5.46705800817424e-07
342.7181619,-4.984813222310637e-08
343.0980305,-5.250437833346131e-08
343.4778671,-1.8211162218914056e-08
343.8576715,-2.434577653980878e-08
344.2374438,-7.062122046348106e-08
344.617184,4.3593104426666634e-08
344.996892,1.6779718724943605e-08
345.3765678,1.7958753287372064e-08
345.7562114,-3.8478306665676106e-08
346.1358229,3.9181103430256536e-07
346.5154021,-2.929125966529943e-08
346.8949491,-1.0921016008917038e-08
347.2744638,-1.4658545724662466e-08
347.6539463,4.113671861852696e-08
348.0333965,-2.028555684273177e-07
348.4128144,2.01138924906829e-08
348.7921999,7.2837815262893615e-09
349.1715532,1.4057066669259356e-08
349.5508741,1.557694997236202e-08
349.9301627,6.50078780838213e-08
350.3094189,-1.346230196525225e-08
350.6886427,-8.373147243402192e-09
351.0678341,-9.11268294877748e-08
351.4469931,2.1841739736035524e-08
351.8261196,2.6012230708890564e-08
352.2052138,1.0595175103270533e-08
352.5842754,7.169792549509679e-09
352.9633046,6.728420116958986e-09
353.3423013,8.83503410062518e-09
353.7212655,6.925562863746294e-09
354.1001971,1.0670157286104242e-08
354.4790963,1.0605822548150316e-08
354.8579629,2.2605517793428972e-08
355.2367969,1.2807221759299374e-07
355.6155983,4.073755507471516e-08
355.9943671,3.509590159727053e-08
356.3731034,6.041457772997083e-08
356.751807,-1.8406572580067026e-07
357.1304779,3.140097459667668e-08
357.5091162,4.892579534321892e-07
357.8877219,-3.067684993978416e-08
358.2662948,-1.7225390575826026e-08
358.6448351,-1.798345616766349e-08
359.0233426,-9.16822958141711e-09
359.4018174,-1.2424847443317177e-08
359.7802594,-2.5691920090550585e-08
360.1586687,-9.956977861497068e-08
360.5370453,-1.0163328423653687e-07
360.915389,2.303432021571376e-08
361.2936999,3.7671673211917274e-08
361.671978,2.135706822873474e-08
362.0502233,5.198174310411259e-08
362.4284357,1.65133150524603e-08
362.8066152,-1.9607747752423264e-06
363.1847619,2.0757711791906326e-08
363.5628756,2.0914070140115512e-08
363.9409565,1.8119861985086064e-08
364.3190044,2.7411608499735544e-08
364.6970194,1.2724034799268878e-08
365.0750014,2.3244202550161132e-08
365.4529505,1.5197173807661644e-08
365.8308666,1.4403569984600527e-08
366.2087496,1.643060339369094e-08
366.5865997,1.952883356360963e-08
366.9644167,3.7051056551720327e-08
367.3422007,5.49455915247936e-08
367.7199516,6.014261735007939e-08
368.0976694,4.941609911442373e-08
368.4753541,5.769526636500989e-07
368.8530058,-2.6294270799349146e-06
369.2306243,6.023399847728287e-07
369.6082097,-9.149896760847487e-08
369.9857619,-4.3938229783275106e-08
370.3632809,-5.15340729401798e-08
370.7407668,-4.80786182647885e-08
371.1182195,-2.4469737742636023e-08
371.495639,-9.237745613698097e-08
371.8730252,-1.0035006465431079e-07
372.2503782,2.724674021959643e-06
372.6276979,-2.3934357632885803e-07
373.0049844,4.468561523069863e-08
373.3822376,5.745255366388285e-08
373.7594574,3.677593815980364e-08
374.136644,3.012452958217831e-08
374.5137972,1.9451600338183955e-08
374.8909171,2.3784764861622708e-08
