wavelength,[uW/cm2/nm]
380,0.004192122493109362
381,0.00436741
382,0.00455202
383,0.004736630000000001
384,0.00492124
385,0.005105850000000001
386,0.005290460000000001
387,0.00547507
388,0.00565968
389,0.00584429
390,0.006029168435775893
391,0.006241600000000002
392,0.0064543
393,0.006667
394,0.0068797
395,0.0070924000000000004
396,0.0073051
397,0.0075178000000000016
398,0.0077305
399,0.007943200000000001
400,0.008160516563942784
401,0.008432605000000001
402,0.00870931
403,0.008986015
404,0.00926272
405,0.009539425
406,0.00981613
407,0.010092835000000001
408,0.010369540000000002
409,0.010646245000000002
410,0.010922950000000002
411,0.011199655000000001
412,0.01147636
413,0.011753065
414,0.01202977
415,0.012306475000000002
416,0.012583180000000001
417,0.012859885000000001
418,0.01313659
419,0.013413295
420,0.013704743873670237
421,0.0141412
422,0.0145924
423,0.0150436
424,0.0154948
425,0.015946000000000002
426,0.016397199999999997
427,0.0168484
428,0.017299600000000002
429,0.0177508
430,0.018202
431,0.018653199999999998
432,0.019104399999999997
433,0.0195556
434,0.0200068
435,0.020458
436,0.0209092
437,0.021360399999999998
438,0.0218116
439,0.022262800000000003
440,0.022729386072116137
441,0.02341375
442,0.024113500000000003
443,0.02481325
444,0.025512999999999997
445,0.02621275
446,0.026912500000000002
447,0.027612249999999998
448,0.028312
449,0.029011749999999996
450,0.0297115
451,0.03041125
452,0.031111
453,0.031810750000000006
454,0.0325105
455,0.03321025
456,0.033909999999999996
457,0.03460975
458,0.0353095
459,0.03600925
460,0.036733679466908684
461,0.0377065
462,0.038704
463,0.0397015
464,0.040699
465,0.0416965
466,0.042693999999999996
467,0.043691499999999994
468,0.04468899999999999
469,0.045686500000000005
470,0.046684
471,0.0476815
472,0.04867899999999999
473,0.049676500000000005
474,0.050674
475,0.051671499999999995
476,0.052668999999999994
477,0.053666500000000006
478,0.05466400000000001
479,0.05566150000000001
480,0.0566673797269491
481,0.05777795
482,0.0588969
483,0.06001585
484,0.0611348
485,0.06225375000000001
486,0.06337270000000002
487,0.06449165
488,0.06561059999999999
489,0.06672955
490,0.0678485
491,0.06896745
492,0.07008640000000001
493,0.07120535
494,0.07232430000000001
495,0.07344324999999999
496,0.07456220000000001
497,0.07568115
498,0.07680010000000001
499,0.07791904999999999
500,0.07908307369955883
501,0.08065727999999998
502,0.08227655999999998
503,0.08389584
504,0.08551512
505,0.0871344
506,0.08875368
507,0.09037296
508,0.09199223999999999
509,0.09361151999999999
510,0.0952308
511,0.09685008
512,0.09846935999999999
513,0.10008863999999999
514,0.10170792
515,0.1033272
516,0.10494648
517,0.10656576
518,0.10818504
519,0.10980432
520,0.11142359999999998
521,0.11304287999999998
522,0.11466215999999999
523,0.11628144
524,0.11790072
525,0.1195468923048532
526,0.1215412
527,0.12356240000000003
528,0.1255836
529,0.1276048
530,0.129626
531,0.1316472
532,0.13366840000000002
533,0.1356896
534,0.1377108
535,0.13973200000000002
536,0.1417532
537,0.1437744
538,0.1457956
539,0.14781680000000003
540,0.14983800000000003
541,0.1518592
542,0.1538804
543,0.1559016
544,0.1579228
545,0.159944
546,0.1619652
547,0.16398640000000003
548,0.16600760000000003
549,0.1680288
550,0.17007507418866077
551,0.1723524
552,0.1746548
553,0.1769572
554,0.1792596
555,0.181562
556,0.1838644
557,0.1861668
558,0.18846919999999998
559,0.1907716
560,0.19307400000000005
561,0.19537640000000003
562,0.1976788
563,0.1999812
564,0.20228360000000004
565,0.20458600000000002
566,0.20688839999999997
567,0.20919079999999998
568,0.2114932
569,0.2137956
570,0.21609799999999998
571,0.2184004
572,0.2207028
573,0.22300520000000004
574,0.22530760000000002
575,0.22763739292334872
576,0.23024160000000005
577,0.23287320000000003
578,0.23550480000000001
579,0.23813640000000003
580,0.24076800000000004
581,0.2433996
582,0.2460312
583,0.2486628
584,0.2512944
585,0.253926
586,0.2565576
587,0.25918919999999995
588,0.26182079999999996
589,0.26445240000000003
590,0.267084
591,0.2697156
592,0.27234719999999996
593,0.2749788000000001
594,0.27761040000000003
595,0.280242
596,0.2828736
597,0.28550519999999996
598,0.28813679999999997
599,0.2907684
600,0.2934384763456204
601,0.2966218
602,0.29984360000000004
603,0.30306540000000004
604,0.3062872
605,0.309509
606,0.31273080000000003
607,0.3159526
608,0.31917439999999997
609,0.3223962
610,0.325618
611,0.3288398
612,0.3320616
613,0.3352834
614,0.3385052
615,0.341727
616,0.3449488
617,0.3481706
618,0.3513924
619,0.3546142
620,0.357836
621,0.36105780000000004
622,0.36427960000000004
623,0.3675014
624,0.37072320000000003
625,0.37394499999999997
626,0.3771668
627,0.38038859999999997
