Wavelength,Transmittance
450,0.000816255
451,0.00084918
452,0.000870344
453,0.000873475
454,0.000919218
455,0.000931671
456,0.000999217
457,0.001041426
458,0.001087802
459,0.001147337
460,0.001175719
461,0.001245891
462,0.001303525
463,0.001382835
464,0.001457255
465,0.001518507
466,0.001584058
467,0.00165862
468,0.00173844
469,0.00180868
470,0.001894013
471,0.001976726
472,0.002052075
473,0.002122462
474,0.002215335
475,0.002293328
476,0.002369721
477,0.002476608
478,0.002566087
479,0.002657766
480,0.002759568
481,0.002854507
482,0.002957774
483,0.003085115
484,0.003198626
485,0.003327569
486,0.003462684
487,0.003598496
488,0.003738327
489,0.003872436
490,0.004023176
491,0.004179628
492,0.004348354
493,0.004496588
494,0.00465456
495,0.004816437
496,0.004970867
497,0.005136072
498,0.005309731
499,0.005469057
500,0.005649774
501,0.00576545
502,0.005929985
503,0.00608787
504,0.006234978
505,0.006373957
506,0.006512226
507,0.006642263
508,0.006766386
509,0.006871802
510,0.006940952
511,0.007019575
512,0.007075083
513,0.0070956
514,0.007115318
515,0.007131896
516,0.007100483
517,0.007030979
518,0.006966845
519,0.006845912
520,0.006730321
521,0.006562164
522,0.006413653
523,0.006244933
524,0.00605316
525,0.005870108
526,0.005687934
527,0.005510302
528,0.005321666
529,0.005166057
530,0.005026713
531,0.004886724
532,0.004761428
533,0.004677517
534,0.004582003
535,0.004511555
536,0.00444042
537,0.004389426
538,0.004337125
539,0.004289033
540,0.004271681
541,0.004263928
542,0.004292799
543,0.004339637
544,0.004417626
545,0.004530219
546,0.004695941
547,0.004878978
548,0.005103035
549,0.005326366
550,0.005544544
551,0.005772674
552,0.006009249
553,0.006243288
554,0.006478011
555,0.006708304
556,0.006892907
557,0.007076671
558,0.007219773
559,0.007338612
560,0.007422684
561,0.007505333
562,0.007534397
563,0.007546179
564,0.007538784
565,0.007440825
566,0.007348452
567,0.007200061
568,0.007005748
569,0.006811353
570,0.006616025
571,0.006426625
572,0.006244787
573,0.006101069
574,0.006022283
575,0.006003165
576,0.006032208
577,0.006189218
578,0.006432099
579,0.006797311
580,0.007302731
581,0.007952041
582,0.008787483
583,0.009821277
584,0.011106902
585,0.012611932
586,0.014409494
587,0.016449728
588,0.018696223
589,0.021114412
590,0.023699523
591,0.026322837
592,0.029102972
593,0.031878299
594,0.034679338
595,0.03745519
596,0.040087235
597,0.04269756
598,0.045197422
599,0.047617792
600,0.049859244
601,0.052181302
602,0.054304722
603,0.056409098
604,0.058324659
605,0.060219815
606,0.062080076
607,0.063749716
608,0.065456806
609,0.067030819
610,0.06870678
611,0.070247643
612,0.071876806
613,0.07343831
614,0.074653627
615,0.075983971
616,0.077298055
617,0.078482751
618,0.079504888
619,0.080658753
620,0.081793821
621,0.082687543
622,0.083690772
623,0.084443849
624,0.085363111
625,0.086264676
626,0.087174338
627,0.087670167
628,0.088681595
629,0.089271988
630,0.090102024
631,0.090647961
632,0.091575961
633,0.092239012
634,0.092857147
635,0.093553571
636,0.09419488
637,0.094634563
638,0.095207225
639,0.095725085
640,0.0963901
641,0.09694495
642,0.097525934
643,0.098119221
644,0.098724357
645,0.099042151
646,0.099616406
647,0.10014815
648,0.10090645
649,0.10091782
650,0.10176278
651,0.10213369
652,0.10251342
653,0.10264267
654,0.10338822
655,0.10386676
656,0.10397939
657,0.10463688
658,0.10489095
659,0.10524356
660,0.10593061
661,0.10562415
662,0.10643778
663,0.10711757
664,0.10671889
665,0.1070528
666,0.1071724
667,0.10789787
668,0.10824572
669,0.10874716
670,0.1091861
671,0.10953122
672,0.10958262
673,0.1100134
674,0.11020932
675,0.1112201
676,0.1109183
677,0.11157191
678,0.11147407
679,0.11211899
680,0.11300602
681,0.11347678
682,0.11430099
683,0.11298178
684,0.11464481
685,0.11549188
686,0.11597513
687,0.11603958
688,0.11600821
689,0.1171024
690,0.11663948
691,0.11675712
692,0.11696185
693,0.11658774
694,0.11792861
695,0.11862163
696,0.11867035
697,0.11816224
698,0.11917442
699,0.11867297
700,0.11806709
