x,y,z
0.17842,0.02464,0.79694
0.17838,0.02482,0.79679
0.17831,0.02496,0.79673
0.17819,0.02505,0.79676
0.17803,0.0251,0.79687
0.17784,0.02509,0.79706
0.17763,0.02504,0.79733
0.17738,0.02494,0.79769
0.17711,0.02478,0.79811
0.17682,0.02458,0.7986
0.17652,0.02432,0.79915
0.17621,0.02403,0.79976
0.1759,0.02371,0.8004
0.17559,0.02338,0.80103
0.1753,0.02307,0.80163
0.17504,0.02279,0.80217
0.1748,0.02255,0.80265
0.17457,0.02236,0.80308
0.17432,0.02218,0.80349
0.17405,0.02202,0.80393
0.17372,0.02185,0.80442
0.17333,0.02168,0.80499
0.1729,0.0215,0.8056
0.17243,0.02133,0.80623
0.17196,0.02118,0.80685
0.17151,0.02106,0.80744
0.17107,0.02097,0.80796
0.17065,0.02092,0.80844
0.17023,0.0209,0.80887
0.1698,0.02093,0.80927
0.16935,0.021,0.80966
0.16886,0.02111,0.81004
0.16834,0.02126,0.8104
0.1678,0.02144,0.81076
0.16726,0.02165,0.81109
0.16672,0.02188,0.8114
0.1662,0.02213,0.81167
0.16569,0.0224,0.8119
0.16518,0.02271,0.81211
0.16465,0.02307,0.81228
0.16408,0.02349,0.81243
0.16346,0.02398,0.81255
0.1628,0.02453,0.81267
0.16212,0.02512,0.81276
0.16142,0.02572,0.81285
0.16074,0.02632,0.81294
0.1601,0.02689,0.81301
0.15949,0.02744,0.81306
0.1589,0.028,0.81309
0.15831,0.0286,0.81309
0.15769,0.02925,0.81306
0.15703,0.02998,0.81299
0.15632,0.0308,0.81289
0.15557,0.03168,0.81275
0.15479,0.03262,0.81259
0.154,0.0336,0.8124
0.1532,0.03462,0.81218
0.15238,0.0357,0.81192
0.15154,0.03686,0.81159
0.15068,0.03814,0.81118
0.14977,0.03958,0.81065
0.14882,0.04119,0.80999
0.14779,0.043,0.80921
0.1467,0.04499,0.80831
0.14551,0.04717,0.80732
0.14423,0.04951,0.80626
0.14283,0.05202,0.80515
0.14132,0.05471,0.80397
0.13972,0.05759,0.80269
0.13802,0.06067,0.8013
0.13627,0.06397,0.79976
0.13446,0.06751,0.79803
0.13258,0.07132,0.7961
0.13062,0.07543,0.79394
0.12855,0.07992,0.79153
0.12634,0.08482,0.78884
0.12395,0.0902,0.78585
0.12137,0.09611,0.78252
0.11859,0.1026,0.77881
0.11563,0.10971,0.77466
0.11247,0.1175,0.77003
0.10912,0.12603,0.76485
0.10557,0.13535,0.75908
0.10182,0.14553,0.75265
0.09784,0.15663,0.74553
0.09363,0.16873,0.73765
0.08916,0.18188,0.72896
0.08447,0.19609,0.71944
0.07957,0.21135,0.70908
0.0745,0.2276,0.6979
0.06929,0.24478,0.68593
0.064,0.26281,0.67319
0.05863,0.2817,0.65966
0.05323,0.3015,0.64528
0.04781,0.32221,0.62998
0.04243,0.34386,0.61371
0.03714,0.36644,0.59642
0.03201,0.38982,0.57817
0.02711,0.41387,0.55902
0.0225,0.4384,0.53909
0.01826,0.46323,0.51851
0.01443,0.48816,0.49741
0.0111,0.51301,0.47589
0.00834,0.5376,0.45406
0.00623,0.56173,0.43204
0.00486,0.5852,0.40993
0.00428,0.60787,0.38785
0.00443,0.62973,0.36584
0.0052,0.65087,0.34393
0.00648,0.67137,0.32214
0.00817,0.6913,0.30052
0.01017,0.7107,0.27912
0.01251,0.72943,0.25806
0.01525,0.7473,0.23744
0.01846,0.76414,0.2174
0.02218,0.77978,0.19804
0.02648,0.79401,0.17951
0.03143,0.80653,0.16204
0.03704,0.8171,0.14587
0.04333,0.82555,0.13111
0.0503,0.83185,0.11785
0.05788,0.83606,0.10606
0.06588,0.83858,0.09554
0.07408,0.83984,0.08609
0.08228,0.84018,0.07754
0.0903,0.83993,0.06977
0.09804,0.8393,0.06266
0.10558,0.83823,0.0562
0.11304,0.8366,0.05035
0.12056,0.83434,0.0451
0.12825,0.83134,0.0404
0.1362,0.82759,0.03621
0.14434,0.82318,0.03248
0.15262,0.81824,0.02913
0.16097,0.8129,0.02613
0.16931,0.80726,0.02343
0.1776,0.8014,0.021
0.1858,0.79539,0.01881
0.19386,0.78929,0.01686
0.20176,0.78314,0.01511
0.20946,0.77699,0.01355
0.21696,0.77088,0.01216
0.22432,0.76476,0.01092
0.23159,0.7586,0.0098
0.23885,0.75235,0.00879
0.24615,0.74597,0.00788
0.25353,0.73942,0.00705
0.26097,0.73274,0.0063
0.26841,0.72597,0.00562
0.27582,0.71916,0.00502
0.28316,0.71236,0.00448
0.29038,0.70561,0.00401
0.29751,0.69891,0.00359
0.30452,0.69226,0.00322
0.31144,0.68568,0.00288
0.31826,0.67915,0.00259
0.32499,0.67269,0.00233
0.33163,0.66628,0.00209
0.33819,0.65992,0.00188
0.34469,0.65361,0.00169
0.35114,0.64734,0.00152
0.35755,0.64109,0.00136
0.36397,0.63481,0.00122
0.37043,0.62848,0.00109
0.37696,0.62206,0.00098
0.38361,0.61552,0.00088
0.39036,0.60885,0.00079
0.39716,0.60214,0.00071
0.40393,0.59543,0.00064
0.41062,0.58881,0.00057
0.41716,0.58232,0.00051
0.42354,0.576,0.00046
0.4298,0.56979,0.00042
0.43602,0.5636,0.00037
0.44227,0.5574,0.00034
0.44859,0.5511,0.0003
0.45503,0.5447,0.00027
0.46153,0.53823,0.00025
0.46803,0.53175,0.00022
0.4745,0.5253,0.0002
0.48088,0.51894,0.00018
0.48714,0.51269,0.00016
0.49331,0.50654,0.00015
0.49939,0.50048,0.00013
0.50541,0.49447,0.00012
0.51138,0.48851,0.00011
0.51732,0.48258,0.0001
0.52323,0.47668,9.00E-05
0.52914,0.47078,8.00E-05
0.53505,0.46488,7.00E-05
0.54097,0.45896,7.00E-05
0.54689,0.45305,6.00E-05
0.55275,0.44719,6.00E-05
0.55849,0.44146,5.00E-05
0.56405,0.43591,5.00E-05
0.56937,0.43059,4.00E-05
0.57444,0.42552,4.00E-05
0.5793,0.42066,4.00E-05
0.58401,0.41596,3.00E-05
0.5886,0.41137,3.00E-05
0.59312,0.40685,3.00E-05
0.5976,0.40238,2.00E-05
0.60201,0.39796,2.00E-05
0.60636,0.39362,2.00E-05
0.6106,0.38938,2.00E-05
0.61474,0.38524,2.00E-05
0.61877,0.38121,2.00E-05
0.62269,0.37729,2.00E-05
0.62653,0.37346,1.00E-05
0.63028,0.36971,1.00E-05
0.63396,0.36602,1.00E-05
0.63758,0.36241,1.00E-05
0.64111,0.35888,1.00E-05
0.64454,0.35545,1.00E-05
0.64785,0.35214,1.00E-05
0.65103,0.34896,1.00E-05
0.65407,0.34593,1.00E-05
0.65697,0.34302,1.00E-05
0.65975,0.34024,1.00E-05
0.66242,0.33758,1.00E-05
0.66498,0.33502,1.00E-05
0.66744,0.33256,1.00E-05
0.6698,0.33019,1.00E-05
0.67208,0.32791,1.00E-05
0.67427,0.32572,0
0.67638,0.32361,0
0.67841,0.32159,0
0.68038,0.31962,0
0.68228,0.31772,0
0.68414,0.31586,0
0.68596,0.31404,0
0.68773,0.31227,0
0.68945,0.31055,0
0.69109,0.30891,0
0.69262,0.30738,0
0.69405,0.30595,0
0.69535,0.30465,0
