Wavelength,T_deoxy,T_oxy
250,112736,106112
252,112736,105552
254,112736,107660
256,113824,109788
258,115040,112944
260,116296,116376
262,117564,120188
264,118876,124412
266,120208,128696
268,121544,133064
270,122880,136068
272,123096,137232
274,121952,138408
276,120808,137424
278,119840,135820
280,118872,131936
282,117628,127720
284,114820,122280
286,112008,116508
288,107140,108484
290,98364,104752
292,91636,98936
294,85820,88136
296,77100,79316
298,69444,70884
300,64440,65972
302,61300,63208
304,58828,61952
306,56908,62352
308,57620,62856
310,59156,63352
312,62248,65972
314,65344,69016
316,68312,72404
318,71208,75536
320,74508,78752
322,78284,82256
324,82060,85972
326,85592,89796
328,88516,93768
330,90856,97512
332,93192,100964
334,95532,103504
336,99792,104968
338,104476,106452
340,108472,107884
342,110996,109060
344,113524,110092
346,116052,109032
348,118752,107984
350,122092,106576
352,125436,105040
354,128776,103696
356,132120,101568
358,133632,97828
360,134940,94744
362,136044,92248
364,136972,89836
366,137900,88484
368,138856,87512
370,139968,88176
372,141084,91592
374,142196,95140
376,143312,98936
378,144424,103432
380,145232,109564
382,145232,116968
384,148668,125420
386,153908,135132
388,159544,148100
390,167780,167748
392,180004,189740
394,191540,212060
396,202124,231612
398,212712,248404
400,223296,266232
402,236188,284224
404,253368,308716
406,270548,354208
408,287356,422320
410,303956,466840
412,321344,500200
414,342596,524280
416,363848,521880
418,385680,515520
420,407560,480360
422,429880,431880
424,461200,376236
426,481840,326032
428,500840,283112
430,528600,246072
432,552160,214120
434,552160,165332
436,547040,132820
438,501560,119140
440,413280,102580
442,363240,92780
444,282724,81444
446,237224,76324
448,173320,67044
450,103292,62816
452,62640,58864
454,36170,53552
456,30698.8,49496
458,25886.4,47496
460,23388.8,44480
462,20891.2,41320
464,19260.8,39807.2
466,18142.4,37073.2
468,17025.6,34870.8
470,16156.4,33209.2
472,15310,31620
474,15048.4,30113.6
476,14792.8,28850.8
478,14657.2,27718
480,14550,26629.2
482,14881.2,25701.6
484,15212.4,25180.4
486,15543.6,24669.6
488,15898,24174.8
490,16684,23684.4
492,17469.6,23086.8
494,18255.6,22457.6
496,19041.2,21850.4
498,19891.2,21260
500,20862,20932.8
502,21832.8,20596.4
504,22803.6,20418
506,23774.4,19946
508,24745.2,19996
510,25773.6,20035.2
512,26936.8,20150.4
514,28100,20429.2
516,29263.2,21001.6
518,30426.4,22509.6
520,31589.6,24202.4
522,32851.2,26450.4
524,34397.6,29269.2
526,35944,32496.4
528,37490,35990
530,39036.4,39956.8
532,40584,43876
534,42088,46924
536,43592,49752
538,45092,51712
540,46592,53236
542,48148,53292
544,49708,52096
546,51268,49868
548,52496,46660
550,53412,43016
552,54080,39675.2
554,54520,36815.2
556,54540,34476.8
558,54164,33456
560,53788,32613.2
562,52276,32620
564,50572,33915.6
566,48828,36495.2
568,46948,40172
570,45072,44496
572,43340,49172
574,41716,53308
576,40092,55540
578,38467.6,54728
580,37020,50104
582,35676.4,43304
584,34332.8,34639.6
586,32851.6,26600.4
588,31075.2,19763.2
590,28324.4,14400.8
592,25470,10468.4
594,22574.8,7678.8
596,19800,5683.6
598,17058.4,4504.4
600,14677.2,3200
602,13622.4,2664
604,12567.6,2128
606,11513.2,1789.2
608,10477.6,1647.6
610,9443.6,1506
612,8591.2,1364.4
614,7762,1222.8
616,7344.8,1110
618,6927.2,1026
620,6509.6,942
622,6193.2,858
624,5906.8,774
626,5620,707.6
628,5366.8,658.8
630,5148.8,610
632,4930.8,561.2
634,4730.8,512.4
636,4602.4,478.8
638,4473.6,460.4
640,4345.2,442
642,4216.8,423.6
644,4088.4,405.2
646,3965.08,390.4
648,3857.6,379.2
650,3750.12,368
652,3642.64,356.8
654,3535.16,345.6
656,3427.68,335.2
658,3320.2,325.6
660,3226.56,319.6
662,3140.28,314
664,3053.96,308.4
666,2967.68,302.8
668,2881.4,298
670,2795.12,294
672,2708.84,290
674,2627.64,285.6
676,2554.4,282
678,2481.16,279.2
680,2407.92,277.6
682,2334.68,276
684,2261.48,274.4
686,2188.24,272.8
688,2115,274.4
690,2051.96,276
692,2000.48,277.6
